[ 04-26 19:37:02.761 INFO  ] RAM: 13.78 MB
[ 04-26 19:37:02.763 INFO  ] Graphics Mode: true
[ 04-26 19:37:02.763 INFO  ] Standalone: true
[ 04-26 19:37:02.764 INFO  ] Updating Directory:   D:/522mtr/mc522mtr-online-pcl-4.0-1.18.2
[ 04-26 19:37:02.764 INFO  ] Working Directory:    D:/522mtr/mc522mtr-online-pcl-4.0-1.18.2
[ 04-26 19:37:02.764 INFO  ] Executable Directory: D:/522mtr/mc522mtr-online-pcl-4.0-1.18.2
[ 04-26 19:51:34.869 DEBUG ] [4.0] old files: .minecraft/assets/objects/09/09e74edab3e1e351136e4c57b5a081a19005c47e
[ 04-26 19:51:34.869 DEBUG ] [4.0] old files: .minecraft/assets/objects/09/09e8b2079bc363d287fe85d5687af142d5fa0f82
[ 04-26 19:51:34.869 DEBUG ] [4.0] old files: .minecraft/assets/objects/09/09fc4bb8b59416d1bd941aa1f3cda0e58d8b1e38
[ 04-26 19:51:34.870 DEBUG ] [4.0] old files: .minecraft/assets/objects/0a/0a0bc1ffa05ac5ff00eb2b1bb9093818a35b85b9
[ 04-26 19:51:34.870 DEBUG ] [4.0] old files: .minecraft/assets/objects/0a/0a31d935f003b719568ae578cb37a5a2c42f02e6
[ 04-26 19:51:34.870 DEBUG ] [4.0] old files: .minecraft/assets/objects/0a/0a417ba6a01b0552e7d15f5ef175ee9037405e58
[ 04-26 19:51:34.870 DEBUG ] [4.0] old files: .minecraft/assets/objects/0a/0a4a39b4106614dafbae88adf3da90e48ded1ad3
[ 04-26 19:51:34.870 DEBUG ] [4.0] old files: .minecraft/assets/objects/0a/0a4f809f76e084a1119d306aefa4c6b7f8ab3bfa
[ 04-26 19:51:34.870 DEBUG ] [4.0] old files: .minecraft/assets/objects/0a/0a5ce2e043ea37f9c8910518ac34c8a42ffb8da5
[ 04-26 19:51:34.870 DEBUG ] [4.0] old files: .minecraft/assets/objects/0a/0a682ccf59ee55c4c318540cb1c1796b89544725
[ 04-26 19:51:34.870 DEBUG ] [4.0] old files: .minecraft/assets/objects/0a/0a99153b99f389ff138711ea0c4c166a8e96db88
[ 04-26 19:51:34.870 DEBUG ] [4.0] old files: .minecraft/assets/objects/0a/0abfb8f19f7bdc0dd211f4a46e392ca1dac2d531
[ 04-26 19:51:34.870 DEBUG ] [4.0] old files: .minecraft/assets/objects/0a/0acdc21b0f56dbe214ae2574d1f02a0ea2e99877
[ 04-26 19:51:34.870 DEBUG ] [4.0] old files: .minecraft/assets/objects/0a/0acf467b3abe89eec11864cf2c3211224a018601
[ 04-26 19:51:34.871 DEBUG ] [4.0] old files: .minecraft/assets/objects/0a/0ae1a47773d41d7ae39539d2b8363dbed3e77580
[ 04-26 19:51:34.871 DEBUG ] [4.0] old files: .minecraft/assets/objects/0a/0ae403bea99c54d26b09f7d588ea11ddb4b6dc98
[ 04-26 19:51:34.871 DEBUG ] [4.0] old files: .minecraft/assets/objects/0a/0af366a1afbede2e47146caa5e4a48b647fa770f
